Week Ending,MMTC Name,Dispensing Locations,Medical Marijuana (mg THC),Low-THC Cannabis (mg CBD),Smoking (oz)
2026-01-02,Trulieve,162,116879561,0,50108.365
2026-01-02,MÜV,82,61174967,0,19139.671
2026-01-02,"Curaleaf Florida, LLC",69,47725376,0,14532.165
2026-01-02,Ayr Cannabis Dispensary,66,43901792,0,10091.098
2026-01-02,Surterra Wellness,45,31879351,0,8553.8
2026-01-02,Green Dragon,40,12391411,0,4492.849
2026-01-02,FLUENT,32,14797028,0,4771.68
2026-01-02,Sunnyside*,31,13804777,0,6629.981
2026-01-02,GrowHealthy,25,9026886,0,2831.107
2026-01-02,Sanctuary Cannabis,25,9064817,0,4558.741
2026-01-02,"GTI Florida, LLC",22,18490339,0,3725.574
2026-01-02,Cookies Florida,19,9028913,0,3805.689
2026-01-02,Jungle Boys,15,7968064,0,4794.013
2026-01-02,Sunburn,15,15229765,0,3848.357
2026-01-02,The Flowery,15,8890877,0,3335.937
2026-01-02,Mint Cannabis,14,3316417,0,621.429
2026-01-02,Goldflower Cannabis,11,7489250,0,939.333
2026-01-02,Insa - Cannabis for Real Life,9,3653680,0,1373.132
2026-01-02,One Plant Cannabis,6,2188732,0,353.678
2026-01-02,"Eden Florida, LLC",2,84328,0,35.56
2026-01-02,Fino Cannabis,0,0,0,0.0
2026-01-02,"Prosperity Medical, LLC",0,0,0,0.0
2026-01-02,Revolution Florida,0,0,0,0.0
2026-01-02,"TheraTrue Florida, LLC",0,0,0,0.0
2026-01-09,Trulieve,162,92052974,0,45106.457
2026-01-09,MÜV,82,43941230,0,13413.793
2026-01-09,"Curaleaf Florida, LLC",70,43032030,0,13498.3
2026-01-09,Ayr Cannabis Dispensary,66,40250108,0,9129.332
2026-01-09,Surterra Wellness,45,23596331,0,5833.194
2026-01-09,Green Dragon,40,11754756,0,3959.1
2026-01-09,FLUENT,33,12926872,0,3901.124
2026-01-09,Sunnyside*,31,13351341,0,6037.666
2026-01-09,GrowHealthy,25,8004339,145,2762.417
2026-01-09,Sanctuary Cannabis,25,8457613,0,5094.943
2026-01-09,"GTI Florida, LLC",22,15630147,0,3412.174
2026-01-09,Cookies Florida,19,6143143,0,2417.886
2026-01-09,Jungle Boys,15,7690068,0,4670.129
2026-01-09,Sunburn,15,10624206,0,2654.414
2026-01-09,The Flowery,15,5884258,0,2299.528
2026-01-09,Mint Cannabis,14,3344095,0,594.392
2026-01-09,Goldflower Cannabis,11,7270446,0,1073.86
2026-01-09,Insa - Cannabis for Real Life,9,3307997,0,1223.568
2026-01-09,One Plant Cannabis,6,2001528,0,313.465
2026-01-09,"Eden Florida, LLC",2,94460,0,28.126
2026-01-09,Fino Cannabis,0,0,0,0.0
2026-01-09,"Prosperity Medical, LLC",0,0,0,0.0
2026-01-09,Revolution Florida,0,0,0,0.0
2026-01-09,"TheraTrue Florida, LLC",0,0,0,0.0
2026-01-16,Trulieve,162,107221079,0,46188.19
2026-01-16,MÜV,82,41582419,0,13465.88
2026-01-16,"Curaleaf Florida, LLC",70,45846368,0,14575.583
2026-01-16,Ayr Cannabis Dispensary,66,42993462,0,10644.007
2026-01-16,Surterra Wellness,45,32704071,74,6480.729
2026-01-16,Green Dragon,40,12172757,0,3883.204
2026-01-16,FLUENT,33,13581999,0,4908.88
2026-01-16,Sunnyside*,31,13639782,0,6322.738
2026-01-16,GrowHealthy,25,9003119,435,2858.037
2026-01-16,Sanctuary Cannabis,25,8824826,0,5252.442
2026-01-16,"GTI Florida, LLC",22,16470849,0,3623.365
2026-01-16,Cookies Florida,19,7083481,0,3263.382
2026-01-16,The Flowery,16,6990897,0,2395.842
2026-01-16,Jungle Boys,15,8998158,0,5519.242
2026-01-16,Sunburn,15,12378711,0,2649.819
2026-01-16,Mint Cannabis,14,3364741,0,696.701
2026-01-16,Goldflower Cannabis,12,7960940,0,874.423
