MMTC Operator,2026-01-02,2026-01-09,2026-01-16,2026-01-23,2026-01-30,2026-02-06,2026-02-13,2026-02-20,2026-02-27,2026-03-06,2026-03-13,2026-03-20
Trulieve,162,162,162,163,163,163,163,163,163,163,165,165
MÜV,82,82,82,83,83,83,83,83,83,83,84,84
"Curaleaf Florida, LLC",69,70,70,70,70,70,70,70,70,70,70,70
Ayr Cannabis Dispensary,66,66,66,66,64,64,64,64,64,64,64,64
Surterra Wellness,45,45,45,45,45,45,45,45,45,45,45,45
Green Dragon,40,40,40,40,40,40,40,40,40,40,40,40
Planet 13 Florida Cannabis for the Planet,33,33,33,33,33,33,33,33,33,33,33,33
FLUENT,32,33,33,33,33,32,32,32,32,32,32,32
Sunnyside*,31,31,31,31,31,31,31,31,31,31,31,31
GrowHealthy,25,25,25,25,25,25,25,25,25,25,25,25
Sanctuary Cannabis,25,25,25,25,25,25,25,25,25,25,25,25
"GTI Florida, LLC",22,22,22,22,22,22,22,22,22,22,22,22
Cookies Florida,19,19,19,19,19,19,19,19,19,19,19,19
Jungle Boys,15,15,15,15,15,15,15,15,15,15,15,15
Sunburn,15,15,15,15,15,15,15,15,15,15,15,15
The Flowery,15,15,16,16,16,16,16,16,16,16,16,16
Mint Cannabis,14,14,14,14,14,14,14,14,14,14,14,14
Goldflower Cannabis,11,11,12,12,12,12,12,12,13,13,13,13
Insa - Cannabis for Real Life,9,9,9,9,9,9,9,9,9,9,9,9
One Plant Cannabis,6,6,6,6,6,6,6,6,6,6,6,6
"Eden Florida, LLC",2,2,2,2,2,2,2,2,2,2,2,4
Fino Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
"Prosperity Medical, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Revolution Florida,0,0,0,0,0,0,0,0,0,0,0,0
"TheraTrue Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Henry Crusaw,0,0,0,0,0,0,0,0,0,0,0,0
Leola Robinson,0,0,0,0,0,0,0,0,0,0,0,0
Moton Hopkins Jr.,0,0,0,0,0,0,0,0,0,0,0,0
