MMTC Operator,2026-01-02,2026-01-09,2026-01-16,2026-01-23,2026-01-30,2026-02-06,2026-02-13,2026-02-20,2026-02-27,2026-03-06,2026-03-13,2026-03-20
Ayr Cannabis Dispensary,43901792,40250108,42993462,40320033,41720182,41952653,40389191,38442733,39844074,40660365,38823930,37991027
Cookies Florida,9028913,6143143,7083481,7686978,7509299,7924911,7923800,9584903,10969381,9197545,8578545,11697613
"Curaleaf Florida, LLC",47725376,43032030,45846368,43183215,46718586,50282701,52905764,48973246,50214282,47901645,46317928,52205296
"Eden Florida, LLC",84328,94460,111379,71975,70354,81172,57565,59853,58525,59293,37788,57996
FLUENT,14797028,12926872,13581999,16399374,14430701,15328733,15926193,15140432,15954937,16237550,15896951,15515772
Fino Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
"GTI Florida, LLC",18490339,15630147,16470849,16445908,16961103,17639185,16797636,16845026,17918452,17544906,17132612,17812461
Goldflower Cannabis,7489250,7270446,7960940,8102467,10269391,10473079,10339017,11418569,12458101,12512889,12881126,12837027
Green Dragon,12391411,11754756,12172757,15407186,13602064,13841367,13639239,13450848,14224907,13527127,14558881,17285691
GrowHealthy,9026886,8004339,9003119,9827568,9186143,9151687,9833777,9945339,10584832,10586661,11460148,11428740
Insa - Cannabis for Real Life,3653680,3307997,3436818,3346838,3368435,3428142,3232183,3399314,3258469,3032878,3200608,3249813
Jungle Boys,7968064,7690068,8998158,8570983,8483562,8556032,9243916,9063639,9488157,9837243,9641268,9960310
Mint Cannabis,3316417,3344095,3364741,3392767,3312096,3243137,3360853,3192643,3295091,3578897,3966644,3744047
MÜV,61174967,43941230,41582419,51369020,52601584,48222723,44710734,50124283,52630452,51913699,46794964,51773739
One Plant Cannabis,2188732,2001528,1945686,1970961,2157031,2075591,2056924,1836956,2102044,1919130,2014878,2177882
"Prosperity Medical, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Revolution Florida,0,0,0,0,0,0,0,0,0,0,0,0
Sanctuary Cannabis,9064817,8457613,8824826,9435004,10356455,9810778,7905879,9354701,10504506,9923198,9876652,9365247
Sunburn,15229765,10624206,12378711,11767124,13457263,13236992,9757737,12718010,11630590,11095127,11588951,12302676
Sunnyside*,13804777,13351341,13639782,12717007,12115294,12041218,12292290,13125158,13344331,12581297,12969671,13376320
Surterra Wellness,31879351,23596331,32704071,27731597,31374038,33518580,27048997,34381099,44233478,39195130,32898462,29398868
The Flowery,8890877,5884258,6990897,7114831,8177064,7685830,7682936,8081733,8485956,8476906,7568301,9766719
"TheraTrue Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Trulieve,116879561,92052974,107221079,119648692,99902664,112939336,104166410,115808008,108013543,111422389,114961623,113562009
