MMTC Operator,2026-01-02,2026-01-09,2026-01-16,2026-01-23,2026-01-30,2026-02-06,2026-02-13,2026-02-20,2026-02-27,2026-03-06,2026-03-13,2026-03-20
Trulieve,50108.365,45106.457,46188.19,49706.962,49031.739,52944.804,49407.017,48079.87,50140.222,52236.161,52260.849,52534.912
MÜV,19139.671,13413.793,13465.88,14324.717,15174.552,15918.094,15355.666,16759.847,16705.209,16526.245,15858.96,16606.979
"Curaleaf Florida, LLC",14532.165,13498.3,14575.583,13832.598,14090.102,14859.722,14729.508,14610.049,14723.006,15540.445,14858.518,15201.529
Ayr Cannabis Dispensary,10091.098,9129.332,10644.007,9765.709,9694.555,9480.856,8546.564,8339.77,8362.443,8692.424,8793.593,8162.224
Surterra Wellness,8553.8,5833.194,6480.729,5518.842,7327.628,6867.648,7457.85,6331.607,7179.884,7604.684,7101.181,8424.162
Green Dragon,4492.849,3959.1,3883.204,4956.05,4494.106,4208.741,4246.212,4095.715,4045.215,3671.508,3465.12,4723.484
Planet 13 Florida Cannabis for the Planet,3115.459,3151.125,3388.747,3313.364,3178.297,3562.475,3489.554,3594.954,3406.04,3688.587,3222.963,3178.974
FLUENT,4771.68,3901.124,4908.88,4417.756,4903.952,4691.111,5599.104,4878.999,4615.88,4778.389,4451.284,4086.457
Sunnyside*,6629.981,6037.666,6322.738,6246.551,6228.558,6152.431,6305.209,6377.285,6393.945,6428.433,6529.377,6458.166
GrowHealthy,2831.107,2762.417,2858.037,2922.374,2710.536,2590.307,2720.884,2687.39,2701.396,2477.832,2851.084,2705.48
Sanctuary Cannabis,4558.741,5094.943,5252.442,5440.102,5966.612,6167.96,5366.45,5411.234,5671.758,4970.436,5033.914,4264.475
"GTI Florida, LLC",3725.574,3412.174,3623.365,3591.409,3563.396,3630.281,3522.652,3470.919,3639.815,3706.038,3765.709,3721.358
Cookies Florida,3805.689,2417.886,3263.382,2766.409,2837.287,3115.797,3229.632,3546.598,3737.725,3839.31,3871.523,4875.435
Jungle Boys,4794.013,4670.129,5519.242,4850.983,4688.724,4594.188,4545.361,4825.019,4838.599,4892.521,4759.275,4988.914
Sunburn,3848.357,2654.414,2649.819,2932.614,3229.111,2864.582,2240.254,2778.575,2971.123,2432.362,2698.068,2808.036
The Flowery,3335.937,2299.528,2395.842,2386.946,2650.741,2623.113,2474.55,2703.398,2925.863,2797.633,2760.915,2777.243
Mint Cannabis,621.429,594.392,696.701,674.597,670.816,562.491,731.707,705.068,668.352,688.625,711.095,703.844
Goldflower Cannabis,939.333,1073.86,874.423,773.485,912.049,1216.457,1147.901,1340.78,1508.774,1558.302,1586.112,1516.009
Insa - Cannabis for Real Life,1373.132,1223.568,1290.278,1288.736,1276.084,1190.24,1116.37,1162.456,1235.163,1133.973,1136.917,1189.06
One Plant Cannabis,353.678,313.465,341.798,383.404,387.609,366.046,409.593,392.8,401.898,352.398,372.639,374.011
"Eden Florida, LLC",35.56,28.126,30.25,25.952,20.62,25.529,36.6,29.616,28.157,38.032,26.736,30.467
Fino Cannabis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Prosperity Medical, LLC",0.0,0.0,0.0,0.0,0.0,23.582,0.0,0.0,0.0,1.235,0.0,0.0
Revolution Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TheraTrue Florida, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Crusaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leola Robinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moton Hopkins Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
